fid,name
472,잔고금액
473,대차거래상환주수
474,잔고주수
475,잔고금액
476,대차거래증감
477,대차거래증감
500,차익위탁매도수량
502,차익거래매도수량
503,차익위탁매도금액
504,차익매도자기금액
505,차익매도금액
508,차익매도비율
509,차익위탁매수수량
511,차익거래매수수량
512,차익매수위탁금액
513,차익매수자기금액
514,차익매수금액
517,차익매수비율
518,차익위탁순매수금액
520,차익위탁순매수수량
522,차익순매수금액
523,차익순매수수량
524,비차익위탁매도수량
526,비차익거래매도수량
527,비차익위탁매도금액
529,비차익거래매도금액
532,비차익매도비율
533,비차익위탁매수수량
535,비차익거래매수수량
536,비차익위탁매수금액
538,비차익거래매수금액
541,비차익매수비율
542,비차익위탁순매수금액
544,비차익위탁순매수수량
546,비차익거래순매수금액
547,비차익거래순매수수량
548,비차익거래누적
552,매도차익거래증감액
553,매수차익거래증감액
554,공매도량
555,공매도거래대금
556,매매비중
594,통화단위
621,LP매도1호가잔량
622,LP매도2호가잔량
623,LP매도3호가잔량
624,LP매도4호가잔량
625,LP매도5호가잔량
626,LP매도6호가잔량
627,LP매도7호가잔량
628,LP매도8호가잔량
629,LP매도9호가잔량
630,LP매도10호가잔량
631,LP매수1호가잔량
632,LP매수2호가잔량
633,LP매수3호가잔량
634,LP매수4호가잔량
635,LP매수5호가잔량
636,LP매수6호가잔량
637,LP매수7호가잔량
638,LP매수8호가잔량
639,LP매수9호가잔량
640,LP매수10호가잔량
661,LP회원사명1
662,LP회원사명2
664,LP회원사명3
666,패리티
667,기어링비율
668,손익분기율
669,자본지지점
670,이론가
671,내재변동성
672,델타
673,감마
674,쎄타
675,베가
676,로
682,레버리지
683,변동수량
686,괴리율
687,예상권리가
689,조기종료여부
690,KO베리어
691,KO접근도
692,평가시작일자
693,평가시작시간
694,평가종료일자
695,평가종료시간
696,평가가격
697,평가완료여부
698,전체최고가
699,전체최저가
704,XRAY순간체결량정리매매구분
706,XRAY순간체결량증거금100%구분
709,IV
710,직후최고가
711,직후최저가
712,후반장최고가
713,후반장최저가
736,이전순매수금액
764,전체당일
765,전체누적
768,추적지수
769,추적지수전일대비
770,추적지수전일대비기호
796,액면가단위
870,상환
871,잔고
872,금액
873,대비
874,공여율
875,잔고율
876,신규
900,주문수량
901,주문가격
902,미체결수량
903,체결누계금액
904,원주문번호
905,주문구분
906,매매구분
907,매도수구분
908,주문/체결시간
909,체결번호
910,체결가
911,체결량
912,업무구분
913,주문상태
914,단위체결가
915,단위체결량
916,대출일
917,신용구분
918,만기일
919,거부사유
920,화면번호
928,프로그램순매수금액증감
929,프로그램순매수수량증감
930,보유수량
931,매입단가
932,총매입가
933,주문가능수량
934,당일매도수량
935,당일매도금액
936,당일매수수량
937,당일매수금액
938,당일매매수수료
939,당일매매세금
940,당일HTS매도수수료
941,당일HTS매수수수료
942,D+2매수정산금
944,당일실현손익
945,당일순매수량
946,매도/매수구분
950,당일총매도손익
951,예수금
952,사용가능현금
953,사용가능대용
954,전일재사용
955,당일재사용
956,담보현금
957,신용금액
958,신용이자
959,담보대출수량
961,현물주문체결이상유무
962,현물잔고이상유무
963,현물예수금이상유무
966,선물주문체결이상유무
967,선물잔고이상유무
971,D+1추정예수금
972,D+2추정예수금
973,D+1매수/매도정산금
974,D+2매수/매도정산금
975,D+1연체변제소요금
976,D+2연체변제소요금
977,D+1추정인출가능금
978,D+2추정인출가능금
979,현금증거금
980,대용잔고
981,대용증거금
982,수표금액
983,현금미수금
984,신용설정보증금
985,인출가능금액
990,당일실현손익_유가
991,당일실현손익률_유가
992,당일실현손익_신용
993,당일실현손익률_신용
1000,52주최고가
1001,52주최고가일
1002,52주최고가대비율
1003,52주최저가
1004,52주최저가일
1005,52주최저가대비율
1006,연중최고
1009,연중최저
1018,상장중최고가
1019,상장중최고가일
1020,상장중최고가대비율
1021,상장중최저가
1022,상장중최저가일
1023,상장중최저가대비율
1025,고가
1026,저가
1027,기준가
1028,기준대비
1029,비중
1033,이전거래량
1034,기준률
1035,현재비율
1036,급증량
1037,급증률
1040,시가대비
1041,대차거래체결주수합
1042,대차거래상환주수합
1043,잔고주수합
1044,잔고금액합
1045,대차거래체결주수비율
1046,대차거래상환주수비율
1047,잔고주수비율
1048,잔고금액비율
1049,매물비
1051,종목수
1052,상승종목수
1054,하락종목수
1055,전일대비
1056,등락률
1058,매도수량
1059,매수수량
1060,누적순매수수량
1063,거래비중
1065,상장종목수
1066,외인비중
1067,전일대비기호
1077,전체거래비율
1079,주요종목
1080,구간구분
1085,과표기준
1086,전일배당금
1087,환산가격
1088,배수
1089,원주가격
1093,ETF대상지수코드
1094,ETF대상지수명
1101,금융투자
1102,보험
1103,투신
1104,은행
1105,기타금융
1106,연기금등
1107,기타법인
1108,개인
1109,외국인
1111,주가등락
1112,등락율
1113,거래량
1114,매도상위이탈원
1115,매도이탈시간
1116,매수상위이탈원
1117,매수이탈시간
1118,조회일자
1119,조회시간
1120,비중
